grant_id,status,owner,next_action
sm-26-014,New,,
pa-27-100,New,,
tx-oafc-core-2026f,New,,
hrsa-rcorp-fy27,New,,
oneohio-c3,New,,
allegheny-osf-2026,New,,
va-oaa-fy28,New,,
heal-translation-rfa-da-27-016,New,,
nih-heal-impowr-rm1,New,,
nih-heal-impowr-beacon,New,,
samhsa-sm-26-015,New,,
samhsa-sm-26-016,New,,
md-orf-2027-moor,New,,
al-admh-settlement-r4,New,,
ks-sedgwick-wichita-2026,New,,
tn-williamson-cy27,New,,
york-county-pa-2027,New,,
oh-ag-jail-remediation-cy26,New,,
tx-oafc-cjs-2026,New,,
oh-sos-passthrough-watch,New,,
ca-hcai-wet-obj1,New,,
dod-cdmrp-prmrp,New,,
pcori-substance-use,New,Dr. Garland,
