grant_id,name,funder,program,channel,state,path,forprofit_direct,category,accessible_usd,pool_usd,deadline,cycle_watch,likelihood,priority,heart,nofo_url,source_url,portal,accounts_needed,match_required,page_limit,attachments,scoring_map,effort_hrs,kit_type,kit_url,last_verified,next_check,found_date
york-county-pa-2027,York County PA opioid settlement — 2027 cycle,York County Board of Commissioners (admin: York County Planning Commission),"Annual settlement grants, Exhibit E uses; 17 rounds over 18 years",Settlement-county,PA,Direct/Sub,unclear,SUD,350000,2000000,2026-08-14,,3,16.6,"York County settlement dollars explicitly fund treatment, recovery, and training under Exhibit E — a MORE cohort for York County SUD clinicians is a direct remediation use. Open now but GATED: required info sessions already ran.",https://www.ycpc.org/691/How-to-Apply,https://www.ycpc.org/646/Opioid-Settlement-Funding,ycpc.org FormCenter online application,W-9 signed/dated 2026; info-session attendance,No,Work plan ≤2 pp; support letters ≤3 pp,,,10,line-item-kit,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-06,2026-08-04
sm-26-014,"CCBHC Planning, Development & Implementation (SM-26-014)",SAMHSA,Certified Community Behavioral Health Clinics PDI,Federal-discretionary,US,Line-item,N,MAT-MOUD,9400000,94000000,2026-08-17,,3,20.9,"94 CCBHCs are writing applications right now — MORE goes in as their evidence-based line item and strengthens their scoring. Nonprofits and local government only, so this is a pure partner play: the insert kit goes out before the 17th.",https://www.samhsa.gov/grants/grant-announcements/sm-26-014,https://www.grants.gov/search-results-detail/360977,Grants.gov (partners apply; MORE rides as line item),Partner needs SAM/UEI + Grants.gov + eRA Commons (NOFO: register ≥6 weeks before deadline),No,Project Narrative 15 pp (over = not reviewed); Abstract 1 pp; timeline attachment ≤2 pp,"16 attachments incl. letters of commitment (#1), licensure + Medicaid proof (#11 — application not reviewed without it), state BH authority approval letter (#16)","Criterion C names the EBP (5 pts, ~1 page — the MORE slot) + Criterion B implementation/staffing (35 pts, mandated workforce training on evidence-based non-pharmacological interventions); +5 priority pts for the 100 highest overdose-death counties (NOFO Appendix C) — that county list is the campaign targeting list",20,line-item-kit,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-06,2026-08-01
samhsa-sm-26-015,CCBHC Improvement & Advancement (SM-26-015),SAMHSA,CCBHC IA for existing clinics; CFDA 93.696; Grants.gov opp 360978,Federal-discretionary,US,Line-item,N,general-BH,11700000,117160647,2026-08-17,,3,21.2,"117 existing CCBHCs are applying for $1M/yr improvement money right now — same 8/17 deadline, same insert-kit: MORE named as the Section C EBP and a Section B workforce-training line.",https://www.samhsa.gov/grants/grant-announcements/sm-26-015,https://www.grants.gov/search-results-detail/360978,Grants.gov / eRA ASSIST (partner applies),Partner needs SAM/UEI + Grants.gov + eRA Commons; More Therapy needs none — contractor line in partner budget,No,Project Narrative 15 pp,,A need 10-15 pts (+5 priority pts for high opioid-mortality areas); B implementation 35 pts (staffing/training live here); C EBP 5 pts (name MORE); D experience 25; E data 20,10,line-item-kit,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-06,2026-08-04
samhsa-sm-26-016,CCBHC State Planning Grants (SM-26-016),SAMHSA,"Cooperative agreements, Section 223 PAMA; ALN 93.829; Grants.gov opp 360982",Fed-state-passthrough,US,Line-item,N,general-BH,,12000000,2026-08-17,,2,2.0,"12 states get $1M each to make clinics certification-ready, and the NOFO explicitly funds training/TA on implementing EBPs with fidelity — the 12 winners are the next CCBHC training market.",https://www.samhsa.gov/grants/grant-announcements/sm-26-016,https://www.grants.gov/search-results-detail/360982,Grants.gov (state applies),None for More Therapy — contracted training/TA vendor inside a state's plan,No,Project Narrative 15 pp,,A need 20; B implementation 35; C experience/staffing 30; D data 15,6,letter-of-support,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-06,2026-08-04
tn-williamson-cy27,Williamson County TN opioid settlement — CY27 cycle,Williamson County Opioid Task Force (admin: MTSU OPSR),Annual community abatement grants under TN Opioid Abatement Council strategies,Settlement-county,TN,Direct,Y,SUD,,,2026-08-17,,5,5.0,"For-profits are explicitly eligible to apply directly, and remediation item FF4 funds 'training providers to offer multi-modal, evidence-informed treatment of pain' — MORE training for Williamson County clinicians is a verbatim allowable activity. Open now, due Aug 17.",https://chhs.mtsu.edu/wp-content/uploads/sites/83/2026/07/Williamson-CY27-RFP-APD-3.pdf,https://chhs.mtsu.edu/wcos/,Qualtrics online form (no registrations needed),None,None (in-kind may be listed),No page limit; per-section character limits in the portal,,100 pts: program design 15 (EBPs); budget justification 20 (line items tied to activity codes — cite FF4/AA9/BB15); need 10; goals 10; capacity 10,15,direct-template,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-06,2026-08-04
al-admh-settlement-r4,Alabama ADMH Opioid Settlement Round 4 (RFP 2027-04),Alabama Department of Mental Health,Opioid Settlement Grant Program FY2027 (HB487),Settlement-state,AL,Line-item,N,SUD,35000,8930000,2026-08-24,,3,13.6,"Alabama's $8.9M Round 4 requires applicants to articulate evidence-based practices with training, supervision, and fidelity plans — MORE training rides as a subcontract line (capped at 10% of award) in ADMH-certified treatment providers' proposals.",https://mh.alabama.gov/wp-content/uploads/2026/07/RFP-2027-04-Opioid-Settlement-Round-4.pdf,https://mh.alabama.gov/opioid-settlement/,"PAPER ONLY — 1 original + 2 copies + 1 USB physically received by 2:00 pm CT at ADMH Contracts & Purchasing, Montgomery; email/fax not accepted","Partner needs AL SoS registration, E-Verify, STAARS vendor registration, ADMH certification",None stated; no supplanting; indirect capped 15%,New proposals: cover 1 + org 2 + program 5 + budget 2 pp,,"100 pts; program description 30 (EBPs clearly articulated w/ fidelity + training + supervision plans = Section III(e), the MORE slot); understanding 20; experience 15; readiness 15; budget 20",8,line-item-kit,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-11,2026-08-04
pa-27-100,NIH/NIDA SBIR Phase I (PA-27-100),NIH / NIDA,Parent SBIR (R43/R44) Clinical Trial Optional,Federal-discretionary,US,Direct,Y,SUD,400000,,2026-09-05,,5,28.0,"The one big pot built for for-profits — R&D money for the MORE app and training platform. Eric wants the ~$2M path; Phase I is the door, first standard due date Sep 5.",https://simpler.grants.gov/opportunity/d1ba49e5-3684-4420-849a-ab2330ec493e,https://www.grants.gov/search-results-detail/359671,Grants.gov / NIH ASSIST,SAM/UEI (annual renewal) + SBA Company Registry + eRA Commons + Grants.gov — 6+ weeks of lead; start now,None,,,"NIH 5-criteria review — Significance (pain+OUD unmet need), Innovation (~3× CBT effect), Approach, Investigators, Environment; NIDA caps Phase I $400K / Phase II $3M",120,direct-template,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-06,2026-08-01
md-orf-2027-moor,Maryland Opioid Restitution Fund 2027 (MOOR NOFA),Maryland Office of Overdose Response,"ORF Grant Program, CY2027-28 (settlement Exhibit E uses)",Settlement-state,MD,Line-item,N,SUD,100000,,2026-09-15,,3,15.0,"Maryland settlement dollars, $1M ceiling per 2-year project, for evidence-based treatment and staff training — MORE rides as a named training/subcontract line in a nonprofit partner's application.",https://stopoverdose.maryland.gov/wp-content/uploads/sites/34/2026/07/MOOR-2027-ORF-NOFA-Revised.pdf,https://stopoverdose.maryland.gov/grants/,Smartsheet application form,"Partner needs 501(c) letter, MD SDAT good standing, charity registration, 990, W-9; no SAM/Grants.gov",None stated,,,Staff eligibility screen → Evaluation Committee ranking (no published points). Must align with a settlement Exhibit E provision + a Project Focus Area; 'evidence-based substance use treatment is allowable' incl. co-occurring.,15,line-item-kit,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-18,2026-08-04
ks-sedgwick-wichita-2026,Sedgwick County / Wichita KS opioid settlement RFPs (4 programs),"Sedgwick County + City of Wichita, KS",OUD Treatment/Recovery/Prevention RFPs 26-0080..83 (Kansas Fights Addiction Act local share),Settlement-county,KS,Direct,Y,SUD,200000,2000000,2026-09-15,,5,26.5,"For-profits check a box on the response form and apply directly — and RFP 26-0081's Workforce Support goal ($580K, awards to $200K) explicitly funds 'continuing education and skill-building training' for behavioral-health clinicians. A straight MORE training proposal.",https://www.sedgwickcounty.org/media/73833/26-0081-integrated-care.pdf,https://www.sedgwickcounty.org/finance/purchasing/current-bids-and-proposals/,Email submission to Purchasing@sedgwick.gov (RFP number in subject) — no portal registration,None,,No hard limits; per-question word guides,,100 pts: understanding/methodology 25; qualifications 20; evidence-based practices 20 (MORE's RCT base); cost 15; performance measures 10; accessibility 10,25,direct-template,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-11,2026-08-04
tx-oafc-cjs-2026,Texas OAFC — criminal-justice opioid abatement (targeted cycle),TX Opioid Abatement Fund Council,"2026 Grant Issuance Plan (amended 3/12/2026) — Spring 2026 targeted strategy, NOFA pending",Settlement-state,TX,Direct,Y,MAT-MOUD,2500000,25000000,,2026-09-01,4,25.6,"Up to $25M for opioid abatement in the criminal-justice system, awards $250K–$2.5M, categories explicitly include Workforce Development and Training — train jail/reentry clinicians in MORE layered onto MOUD. NOFA overdue; watch closely.",https://comptroller.texas.gov/programs/opioid-council/docs/grants/Amended-2026-OAFC-grant-issuance-plan.pdf,https://comptroller.texas.gov/programs/opioid-council/grants/grant-opp.php,Texas OGMS (txcomptroller.my.site.com/opioid),TX OGMS account,,,,Plan categories: Treatment & Coordination of Care · Recovery Support · Workforce Development and Training · Prevention/Public Safety,40,direct-template,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-11,2026-08-04
tx-oafc-core-2026f,Texas OAFC — Fall 2026 CORE grants,TX Opioid Abatement Fund Council,CORE grant cycle,Settlement-state,TX,Direct/Sub,Y,SUD,1875000,75000000,,2026-09-01,4,25.1,"Settlement money with provider-friendly eligibility, opening this fall. Watch page and GovDelivery list are live; position before it posts.",,https://comptroller.texas.gov/programs/opioid-council/grants/grant-opp.php,Texas OGMS,TX OGMS account; TX SmartBuy/CMBL ($70/yr) for vendor path,,,,,40,direct-template,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-11,2026-08-01
hrsa-rcorp-fy27,HRSA RCORP — FY27 cycle,HRSA,Rural Communities Opioid Response Program,Federal-discretionary,US,Direct,Y,SUD,750000,64000000,,2027-03-01,4,23.5,"For-profits are explicitly eligible — rare for federal treatment money. FY26 closed Jul 8; no FY27 forecast is posted yet, so the radar watches while we prep the rural partner map to apply day one.",https://simpler.grants.gov/opportunity/e779b908-4f8c-48ce-9485-1345475cdbaf,https://www.hrsa.gov/rural-health/opioid-response,Grants.gov,SAM/UEI + Grants.gov,,,,FY26 shape: Planning HRSA-26-036 $100K × 40 ($4M) · Impact HRSA-26-037 $60M ~80 awards at a $750K per-award CEILING (not minimum) · plus a TA NOFO (HRSA-26-038),60,direct-template,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-11,2026-08-01
heal-translation-rfa-da-27-016,NIH HEAL — Translating Addiction Research into Practice (RFA-DA-27-016),NIH / NIDA (HEAL Initiative),R61/R33 phased award; ALNs 93.279/93.273/93.866/93.213,Federal-discretionary,US,Direct,Y,SUD,700000,6000000,2026-10-09,,4,23.4,"NIH money a for-profit can hold directly, whose stated priority is exactly MORE's pitch: getting clinicians trained in and delivering evidence-based addiction treatment, with chronic-pain-comorbid SUD named as a priority. An R61 (train clinicians, pilot fidelity) into R33 (implementation trial) built around MORE dissemination.",https://files.simpler.grants.gov/opportunities/c33f1e5e-0354-4976-adca-9aa7240778d3/attachments/d20bcf8b-9221-47b2-93d3-2351a3eac1a4/RFA-DA-27-016-Full-Announcement.html,https://www.grants.gov/search-results-detail/362672,NIH ASSIST / Grants.gov Workspace,SAM/UEI + eRA Commons (SO + PI) + Grants.gov + ORCID — 6+ weeks,No,Standard NIH page limits + 2-pp Timeline and Milestone Plan attachment,,"Standard NIH peer review; R33 transition is administrative against R61 milestones. NON-RESPONSIVE traps: solely testing new interventions, purely descriptive studies — frame as translation/implementation of the established MORE evidence base.",100,direct-template,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-11,2026-08-04
nih-heal-impowr-beacon,"NIH HEAL IMPOWR BEACON Center (RFA-DA-27-006, forecast)",NIH / NIDA (HEAL Initiative),BEACON network coordination + capacity-building center (U2C; ALN 93.279),Federal-discretionary,US,Direct/Sub,Y,pain,1750000,1750000,2026-11-02,,3,18.7,"The single capacity-building hub for scaling evidence-based practices across the chronic pain + OUD consortium — one award, $1.75M, and clinician training at the EBP/implementation intersection is its core duty.",,https://www.grants.gov/search-results-detail/360366,Grants.gov,SAM/UEI + eRA Commons + Grants.gov,No,,,,100,,,2026-08-04,2026-08-18,2026-08-04
allegheny-osf-2026,Allegheny County OSF — annual RFP,Allegheny County DHS,Opioid Settlement Fund RFP,Settlement-county,PA,Direct/Sub,Y,SUD,500000,,,2026-09-08,3,17.1,"Annual county settlement RFP — opens around November, due January. Calendar it; the county pattern of 3–6-week windows is the volume play nationwide.",,https://solicitations.alleghenycounty.us/,Bonfire,Bonfire vendor account (free),,,,,30,direct-template,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-11,2026-08-01
va-oaa-fy28,Virginia OAA — locality grants (FY27 window open / FY28),VA Opioid Abatement Authority,City & county grants,Settlement-state,VA,Sub,N,SUD,200000,,2026-10-22,,3,15.9,Every VA city and county has an entitled settlement allocation it can only unlock by submitting an approved abatement project — get MORE named as the evidence-based training contractor inside locality applications before the Oct 22 new-award cutoff.,https://www.oaa.virginia.gov/media/governorvirginiagov/oaa/documents/Guidance-Individual-Distribution-Gold-Standard.pdf,https://www.oaa.virginia.gov/portal-grants/,OAA Grants Portal (voaagrants.us) — held by the locality; MORE enters via the locality's contractor budget,Virginia eVA (free),,,,,20,letter-of-support,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-11,2026-08-01
oh-ag-jail-remediation-cy26,Ohio AG Opioid Remediation — jail addiction programs (CY2026),Office of the Ohio Attorney General,"Improving Outcomes for Substance-Addicted Inmates (CY2025–27, AG settlement funds)",Settlement-state,OH,Line-item,N,SUD,200000,20000000,2026-12-01,,3,15.9,"$20M/yr for county jails and CBCFs to stand up addiction programming — 'new contract services related to OUD' explicitly qualifies, so a jail grantee contracts More Therapy to train its treatment staff in MORE. Rolling review through Dec 1.",https://www.ohioattorneygeneral.gov/getattachment/ed88813d-94c9-4e90-ba0f-7d43614444e2/ed88813d-94c9-4e90-ba0f-7d43614444e2.aspx,https://www.ohioattorneygeneral.gov/getattachment/ed88813d-94c9-4e90-ba0f-7d43614444e2/ed88813d-94c9-4e90-ba0f-7d43614444e2.aspx,"Email application to JailGrants@OhioAGO.gov — rolling, quarterly payments",None for More Therapy; jail needs OH|ID + OhioPays,None stated,,,"AG review committee; priorities: new programming in shortage areas, multi-county sharing, multi-county jails",12,line-item-kit,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-18,2026-08-04
oneohio-c3,OneOhio Recovery Foundation — Cycle 3,OneOhio Recovery Foundation,Regional grant cycle 3,Settlement-state,OH,Direct,Y,SUD,186000,,,2026-11-15,3,15.8,For-profits eligible; Cycle 2 was $45.7M. Roughly annual — verify More Therapy's 2-year Ohio registration now so eligibility is ready when it opens.,,https://www.oneohiofoundation.com/grants,OneOhio application portal,Ohio SoS registration 2+ yrs,,,,Cycle 2 pattern: RFP Dec 10 → inquiry Jan 14–Feb 11 → awards mid-year,40,direct-template,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-08-11,2026-08-01
nih-heal-impowr-rm1,"NIH HEAL IMPOWR — chronic pain + OUD health systems (RFA-DA-27-001, forecast)",NIH / NIDA (HEAL Initiative),"IMPOWR Health Systems, RM1 team award",Federal-discretionary,US,Direct/Sub,Y,pain,,,2026-11-02,,4,4.0,"Health-systems implementation of integrative interventions for co-occurring chronic pain + OUD — MORE's exact dyad and evidence space, and clinician training is a core implementation strategy this NOFO funds. Team with Garland/U. Utah.",,https://www.grants.gov/search-results-detail/360048,Grants.gov / NIH ASSIST,SAM/UEI + eRA Commons + Grants.gov,No,,,,120,,,2026-08-04,2026-08-18,2026-08-04
oh-sos-passthrough-watch,Ohio SOS 4.0 (SOR pass-through) — Year 3 RFA watch,"Ohio Dept. of Behavioral Health (DBH, ex-OhioMHAS)","SAMHSA State Opioid Response pass-through (award H79TI087745, ~$101M/yr)",Fed-state-passthrough,OH,Line-item,N,SUD,,,,2026-10-01,3,3.0,Ohio's ~$100M/yr SOR pass-through explicitly funds 'expanding evidence-based practices' and names for-profit licensed community BH providers as eligible applicants — MORE training fits as the EBP line item in provider and ADAMH board applications when Year-3 RFAs post (~fall).,https://dbh.ohio.gov/supporting-providers/apply-for-funding/funding-opportunities/20-rfi-109-sos-4-0-grant,https://dbh.ohio.gov/supporting-providers/apply-for-funding,DBH funding-opportunities carousel,None for More Therapy (partner applies),,,,RFA #109 awards ran $100K–$6M per applicant; short spend windows — partners need MORE priced and ready before RFAs drop,10,line-item-kit,https://docs.google.com/document/d/1nYvlnmWmL0Pmzax3coSLEcJoaJ8hNSCaUN1UWbDcE3Q/edit,2026-08-04,2026-10-01,2026-08-04
ca-hcai-wet-obj1,CA HCAI BHSA WET Plan — workforce training vendor watch,California HCAI,"Behavioral Health Services Act (Prop 1) Workforce Education & Training Plan 2026–2030, Objective 1",Workforce,CA,Sub,unclear,workforce,,,,2026-10-01,3,3.0,"HCAI will fund development and statewide delivery of training modules cross-training MH and SUD providers in substance-use treatment, MAT, and harm reduction for LCSW/LMFT/LPCC/psychologists — a near-exact description of MORE clinician training, with CEU alignment planned. No RFP yet; implementation began 7/1/2026.",https://hcai.ca.gov/document/bhsa-2026-2030-wet-plan/,https://hcai.ca.gov/workforce/financial-assistance/grants/bhp/,Cal eProcure (when solicitations post),Cal eProcure vendor registration (free) when the time comes,,,,Objective 1 sequence: core competencies → skills-gap analysis → map existing programs → fund module development → delivery to county agencies,10,,,2026-08-04,2026-10-01,2026-08-04
